elevator,rooms,address,price,size
 con ascensore,4 ,"Quadrilocale in via francesco cherubini, 6, Ariosto-Magenta, Milano",2.500,115 
 con ascensore,3 ,"Trilocale in via caccialepori, s.n.c, Morgantini, Milano",1.000,110 
,4 ,"Quadrilocale in via ariberto, s.n.c, Navigli-Porta Genova, Milano",1.750,130 
 con ascensore,2 ,"Bilocale in via piceno 23, 23, Indipendenza-Regina Giovanna, Milano",1.200,85 
,7 ,"Casa indipendente in via Cerca, 1, Mediglia",4.400,250 
 con ascensore,,"Monolocale in via piccinni, 5, Abruzzi, Milano",800,40 
,,"Monolocale in lomazzo, Sempione, Milano",850,38 
 con ascensore,3 ,"Trilocale in via sant'orsola, Zona Sant`Ambrogio-Università Cattolica, Milano",1.500,80 
 con ascensore,2 ,"Bilocale in via caterina da forli', 58, Bande Nere, Milano",800,55 
,,"Appartamento su due piani in villoresi, Navigli-Porta Genova, Milano",1.300,68 
 con ascensore,2 ,"Bilocale in via giovanni da procida, Portello-Tre Torri, Milano",1.250,65 
 con ascensore,7 ,"Attico in via Gustavo Modena, Indipendenza-Regina Giovanna, Milano",6.000,275 
 ,2 ,"Bilocale in via francesco brioschi, Cermenate-Meda, Milano",1.100,50 
 con ascensore,,"Monolocale in via casale, Navigli-Porta Genova, Milano",500,30 
,2 ,"Bilocale in via terraggio, Zona Sant`Ambrogio-Università Cattolica, Milano",2.450,70 
 ,3 ,"Trilocale in alzaia naviglio pavese, Navigli-Porta Genova, Milano",1.150,75 
 con ascensore,3 ,"Trilocale in via giovanni spadolini, Vigentino, Milano",1.200,90 
 con ascensore,3 ,"Trilocale in piazza antonio gramsci, Sempione, Milano",2.000,130 
 con ascensore,2 ,"Bilocale in via sebastiano veniero, 12, Fiera, Milano",1.300,50 
 senza ascensore,,"Monolocale in via luigi giuseppe faravelli, Portello-Tre Torri, Milano",529,38 
,,"Monolocale in via antonio cesari, Niguarda, Milano",550,35 
 senza ascensore,2 ,"Bilocale in corso di porta ticinese, s.n.c, Mercalli-Quadronno, Milano",1.200,55 
,10 ,"Villa in via giuseppe mazzini, Segrate Centro, Segrate",2.333,550 
 con ascensore,3 ,"Trilocale in via gaetano donizetti, s.n.c, Palestro, Milano",1.650,120 
 con ascensore,4 ,"Quadrilocale in largo claudio treves, 2, Moscova-Repubblica, Milano",3.500,142 
