size,elevator,address,rooms,price
87 , con ascensore,"Bilocale in via Trento, 38, Area Lavanderie-Redecesio, Segrate",2 ,195.750
75 , con ascensore,"Bilocale in via Trento, 38, Area Lavanderie-Redecesio, Segrate",2 ,168.750
132 ,,"Trilocale in via Cascina Torriggio, 1, Rozzano",3 ,330.000
75 ,,"Bilocale in via Cascina Torriggio, 1, Rozzano",2 ,179.250
120 , con ascensore,"Trilocale in via leopoldo pollak, 10, San Siro, Milano",3 ,329.000
66 ,,"Bilocale in via Cascina Torriggio, 1, Rozzano",2 ,151.140
80 ,,"Trilocale in via Cascina Torriggio, 1, Rozzano",3 ,180.910
104 ,,"Trilocale in via Cascina Torriggio, 1, Rozzano",3 ,238.160
75 , con ascensore,"Trilocale in via domenico millelire, 20, Bande Nere, Milano",3 ,192.000
200 , con ascensore,"Quadrilocale in corso di porta romana, s.n.c, Mercalli-Quadronno, Milano",4 ,1.380.000
106 , con ascensore,"Trilocale in via Unità d'italia, s.n.c, Pozzo d'Adda",3 ,170.000
118 , ,"Trilocale in via francesco ferrucci, 1, Portello-Tre Torri, Milano",3 ,430.000
60 , con ascensore,"Bilocale in via alcuino, 7, Portello-Tre Torri, Milano",2 ,235.000
283 , con ascensore,"Attico in via amedeo d'aosta, 5, Romagna, Milano",7 ,1.290.000
69 , con ascensore,"Bilocale in via del turchino, 17, Martini-Cuoco, Milano",2 ,110.000
283 , con ascensore,"Appartamento su due piani in via amedeo d'aosta, 5, Romagna, Milano",7 ,1.290.000
90 ,,"Bilocale in via palladio, 5, Cornaredo",2 ,215.000
190 , con ascensore,"Quadrilocale in via regina margherita, 35, Tribunale, Milano",4 ,990.000
125 , con ascensore,"Quadrilocale in piazza sant'agostino, s.n.c, San Vittore-Washington, Milano",4 ,700.000
52 , con ascensore,"Bilocale in via tobagi, 7, Naviglio Grande-Barona, Milano",2 ,138.000
90 , con ascensore,"Trilocale in via achille feraboli, 52, Gratosoglio, Milano",3 ,189.000
42 ,,"Bilocale in via beatrice d'este, s.n.c, Mercalli-Quadronno, Milano",2 ,275.000
200 , con ascensore,"Appartamento in via capranica, s.n.c, Teodosio-Porpora, Milano",5 ,690.000
170 , con ascensore,"Appartamento su due piani in via bronzino, s.n.c, Romagna, Milano",4 ,720.000
100 , con ascensore,"Monolocale in via privata cascia, 6, Crescenzago, Milano",,220.000
255 ,,"Casa indipendente in via Padre Pio da Pietralcina, 5, Peschiera Borromeo",4 ,590.000
240 , con ascensore,"Appartamento in via ippodromo, 56, San Siro, Milano",7 ,900.000
138 , con ascensore,"Trilocale in via sebastiano veniero, 2, Fiera, Milano",3 ,580.000
225 , con ascensore,"Quadrilocale in via ennio, 25, Martini-Cuoco, Milano",4 ,920.000
400 , con ascensore,"Appartamento in via federico tesio, 29, San Siro, Milano",9 ,1.590.000
75 , con ascensore,"Bilocale in via giuseppe lagrange, 6, Navigli-Porta Genova, Milano",2 ,435.000
120 ,,"Trilocale in via Padre Pio da Pietralcina, 5, Peschiera Borromeo",3 ,330.000
100 ,,"Trilocale in via Padre Pio da Pietralcina, 5, Peschiera Borromeo",3 ,330.000
150 , con ascensore,"Attico in via mahatma gandhi, 11, Musocco, Milano",4 ,480.000
167 , con ascensore,"Quadrilocale in via toscana, 6, Passirana-Biringhello, Rho",4 ,349.000
200 ,,"Quadrilocale in via thomas alva edison, 3, Sedriano",4 ,250.000
70 , senza ascensore,"Bilocale in piazzale francesco accursio, 4, Accursio, Milano",2 ,165.000
90 , senza ascensore,"Trilocale in via san gerolamo emiliani, s.n.c, Cinque Giornate-Montenero-Libia, Milano",3 ,410.000
115 , con ascensore,"Trilocale in piazzale carlo maciachini, 10, Dergano, Milano",3 ,250.000
132 , con ascensore,"Trilocale in via rubens, 10, Morgantini, Milano",3 ,730.000
65 , senza ascensore,"Bilocale in via taormina, 27, Istria, Milano",2 ,135.000
65 , senza ascensore,"Bilocale in via giacomo leopardi, 8, Cinisello, Cinisello Balsamo",2 ,88.000
130 ,,"Appartamento su due piani in corso roma, Cologno Monzese",3 ,340.000
